booking; foglalás
departure; távozás
handgrip; fogantyú
careful; óvatos, gondos
thirsty; szomjas
nephew; unokaöccse
calming; nyugtató, megnyugtató
immersion; merítés, alámerülés
blender; turmixgép, keverőgép
cradle; bölcső
swan; hattyú
carved; faragott, vésett
lack; hiányzik, időhiány
household; háztartási
dawn; hajnal
vintage; veterán, évjárat
amber; sárga, borostyán
ancient; régi, ókori
proof; bizonyíték, igazolást
struggle; küzdelem, harc
coercion; kényszer
bunch; csokor, csomó, rakás
enforce; érvényesíteni
strip; szalag, sáv, csík
obviates; elkerül
be careful; légy óvatos
